n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0459,1,256,4,4,1,1,0,4,0,0.000189,386,1476,881,0,44
0460,1,256,4,4,1,1,0,4,1,0.000211,348,1512,868,0,44
0461,1,256,4,4,1,1,0,4,2,0.000211,342,1510,868,0,44
0462,1,256,4,4,1,1,0,5,0,0.000226,434,1697,1260,0,44
0463,1,256,4,4,1,1,0,5,1,0.000211,518,2174,1425,0,44
0464,1,256,4,4,1,1,0,5,2,0.000206,524,2172,1425,0,44
0471,1,256,4,4,1,1,0,8,0,0.000226,374,1608,1029,0,44
0472,1,256,4,4,1,1,0,8,1,0.000195,402,1759,1141,0,44
0473,1,256,4,4,1,1,0,8,2,0.000195,402,1759,1141,0,44
0474,1,256,4,4,1,1,0,9,0,0.000204,488,1896,1436,0,44
0475,1,256,4,4,1,1,0,9,1,0.000219,643,2709,1697,0,44
0476,1,256,4,4,1,1,0,9,2,0.000219,643,2709,1697,0,44
0480,1,256,4,4,1,1,0,11,0,0.000219,560,2081,1489,0,44
0481,1,256,4,4,1,1,0,11,1,0.000218,687,3233,1915,0,44
0482,1,256,4,4,1,1,0,11,2,0.000218,687,3233,1915,0,44
0492,1,256,4,4,1,1,0,15,0,0.000243,654,2646,1648,0,44
0493,1,256,4,4,1,1,0,15,1,0.000244,819,3944,2187,0,44
0494,1,256,4,4,1,1,0,15,2,0.000244,819,3944,2187,0,44
0495,1,256,4,8,1,1,0,1,0,0.000131,502,2073,942,0,56
0496,1,256,4,8,1,1,0,1,1,0.000105,501,2451,966,0,56
0497,1,256,4,8,1,1,0,1,2,0.000105,501,2451,966,0,56
0498,1,256,4,8,1,1,0,2,0,0.000112,490,2131,1022,0,56
0499,1,256,4,8,1,1,0,2,1,0.000096,571,2558,1046,0,56
0500,1,256,4,8,1,1,0,2,2,0.000096,571,2558,1046,0,56
0504,1,256,4,8,1,1,0,4,0,0.000116,576,2534,1469,0,56
0505,1,256,4,8,1,1,0,4,1,0.000110,594,2653,1454,0,56
0506,1,256,4,8,1,1,0,4,2,0.000110,594,2653,1454,0,56
0513,1,256,4,8,1,1,0,7,0,0.000121,902,3634,2430,0,56
0514,1,256,4,8,1,1,0,7,1,0.000114,1058,4557,2877,0,56
0515,1,256,4,8,1,1,0,7,2,0.000114,1058,4557,2877,0,56
0516,1,256,4,8,1,1,0,8,0,0.000125,653,2703,1765,0,56
0517,1,256,4,8,1,1,0,8,1,0.000110,715,3198,1998,0,56
0518,1,256,4,8,1,1,0,8,2,0.000110,715,3198,1998,0,56
0519,1,256,4,8,1,1,0,9,0,0.000122,900,3612,2606,0,56
0520,1,256,4,8,1,1,0,9,1,0.000118,1169,5051,3116,0,56
0521,1,256,4,8,1,1,0,9,2,0.000118,1169,5051,3116,0,56
0540,1,256,8,1,1,1,0,1,0,0.000616,39,123,98,0,1
0541,1,256,8,1,1,1,0,1,1,0.000405,40,166,101,0,1
0542,1,256,8,1,1,1,0,1,2,0.000405,40,166,101,0,1
0543,1,256,8,1,1,1,0,2,0,0.000501,40,128,116,0,1
0544,1,256,8,1,1,1,0,2,1,0.000401,41,194,119,0,1
0545,1,256,8,1,1,1,0,2,2,0.000401,41,194,119,0,1
0549,1,256,8,1,1,1,0,4,0,0.000469,48,183,161,0,1
0550,1,256,8,1,1,1,0,4,1,0.000422,48,202,164,0,1
0551,1,256,8,1,1,1,0,4,2,0.000422,48,202,164,0,1
0552,1,256,8,1,1,1,0,5,0,0.000432,74,264,262,0,1
0553,1,256,8,1,1,1,0,5,1,0.000474,95,386,305,0,1
0554,1,256,8,1,1,1,0,5,2,0.000474,95,386,305,0,1
0558,1,256,8,1,1,1,0,7,0,0.000432,84,328,284,0,1
0559,1,256,8,1,1,1,0,7,1,0.000472,100,436,343,0,1
0560,1,256,8,1,1,1,0,7,2,0.000472,100,436,343,0,1
0561,1,256,8,1,1,1,0,8,0,0.000413,52,199,199,0,1
0562,1,256,8,1,1,1,0,8,1,0.000441,61,278,232,0,1
0563,1,256,8,1,1,1,0,8,2,0.000441,61,278,232,0,1
0576,1,256,8,1,1,1,0,13,0,0.000482,109,424,339,0,1
0577,1,256,8,1,1,1,0,13,1,0.000613,146,730,477,0,1
0578,1,256,8,1,1,1,0,13,2,0.000613,146,730,477,0,1
0582,1,256,8,1,1,1,0,15,0,0.000565,135,517,359,0,1
0583,1,256,8,1,1,1,0,15,1,0.000545,163,820,515,0,1
0584,1,256,8,1,1,1,0,15,2,0.000545,163,820,515,0,1
0585,1,256,8,2,1,1,0,1,0,0.000649,148,611,352,0,38
0586,1,256,8,2,1,1,0,1,1,0.000449,154,697,358,0,38
0587,1,256,8,2,1,1,0,1,2,0.000449,154,697,358,0,38
0588,1,256,8,2,1,1,0,2,0,0.000542,171,684,372,0,38
0589,1,256,8,2,1,1,0,2,1,0.000424,164,764,378,0,38
0590,1,256,8,2,1,1,0,2,2,0.000424,164,764,378,0,38
0591,1,256,8,2,1,1,0,3,0,0.000518,184,777,638,0,38
0592,1,256,8,2,1,1,0,3,1,0.000504,230,999,660,0,38
0593,1,256,8,2,1,1,0,3,2,0.000489,229,999,660,0,38
0594,1,256,8,2,1,1,0,4,0,0.000492,178,760,489,0,38
0595,1,256,8,2,1,1,0,4,1,0.000443,171,835,488,0,38
0596,1,256,8,2,1,1,0,4,2,0.000443,171,835,488,0,38
0597,1,256,8,2,1,1,0,5,0,0.000496,228,881,682,0,38
0598,1,256,8,2,1,1,0,5,1,0.000504,268,1170,766,0,38
0599,1,256,8,2,1,1,0,5,2,0.000504,268,1170,766,0,38
0606,1,256,8,2,1,1,0,8,0,0.000481,190,829,563,0,38
0607,1,256,8,2,1,1,0,8,1,0.000414,217,940,618,0,38
0608,1,256,8,2,1,1,0,8,2,0.000414,217,940,618,0,38
0609,1,256,8,2,1,1,0,9,0,0.000478,250,989,770,0,38
0610,1,256,8,2,1,1,0,9,1,0.000479,328,1411,902,0,38
0611,1,256,8,2,1,1,0,9,2,0.000492,324,1411,902,0,38
0615,1,256,8,2,1,1,0,11,0,0.000442,290,1086,796,0,38
0616,1,256,8,2,1,1,0,11,1,0.000517,347,1660,1022,0,38
0617,1,256,8,2,1,1,0,11,2,0.000490,341,1660,1022,0,38
0627,1,256,8,2,1,1,0,15,0,0.000573,357,1408,876,0,38
0628,1,256,8,2,1,1,0,15,1,0.000500,426,2029,1158,0,38
0629,1,256,8,2,1,1,0,15,2,0.000500,426,2029,1158,0,38
0630,1,256,8,4,1,1,0,1,0,0.000243,269,1140,601,0,44
0631,1,256,8,4,1,1,0,1,1,0.000223,302,1365,615,0,44
0632,1,256,8,4,1,1,0,1,2,0.000223,302,1365,615,0,44
0633,1,256,8,4,1,1,0,2,0,0.000240,325,1233,642,0,44
0634,1,256,8,4,1,1,0,2,1,0.000198,337,1440,655,0,44
0635,1,256,8,4,1,1,0,2,2,0.000198,337,1440,655,0,44
0639,1,256,8,4,1,1,0,4,0,0.000214,341,1470,871,0,44
0640,1,256,8,4,1,1,0,4,1,0.000193,346,1488,858,0,44
0641,1,256,8,4,1,1,0,4,2,0.000203,339,1488,858,0,44
0648,1,256,8,4,1,1,0,7,0,0.000232,491,1929,1354,0,44
0649,1,256,8,4,1,1,0,7,1,0.000227,579,2481,1583,0,44
0650,1,256,8,4,1,1,0,7,2,0.000227,579,2481,1583,0,44
0651,1,256,8,4,1,1,0,8,0,0.000230,353,1608,1019,0,44
0652,1,256,8,4,1,1,0,8,1,0.000220,404,1745,1131,0,44
0653,1,256,8,4,1,1,0,8,2,0.000220,404,1745,1131,0,44
0654,1,256,8,4,1,1,0,9,0,0.000244,514,1918,1442,0,44
0655,1,256,8,4,1,1,0,9,1,0.000232,637,2733,1703,0,44
0656,1,256,8,4,1,1,0,9,2,0.000232,637,2733,1703,0,44
0675,1,256,8,8,1,1,0,1,0,0.000139,495,2126,928,0,56
0676,1,256,8,8,1,1,0,1,1,0.000114,540,2402,952,0,56
0677,1,256,8,8,1,1,0,1,2,0.000114,540,2402,952,0,56
0678,1,256,8,8,1,1,0,2,0,0.000117,494,2169,992,0,56
0679,1,256,8,8,1,1,0,2,1,0.000104,572,2583,1032,0,56
0680,1,256,8,8,1,1,0,2,2,0.000104,572,2583,1032,0,56
