n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0677,1,256,8,8,1,1,0,1,2,0.000114,540
0678,1,256,8,8,1,1,0,2,0,0.000117,494
0679,1,256,8,8,1,1,0,2,1,0.000104,572
0680,1,256,8,8,1,1,0,2,2,0.000104,572
0681,1,256,8,8,1,1,0,3,0,0.000138,653
0682,1,256,8,8,1,1,0,3,1,0.000124,771
0683,1,256,8,8,1,1,0,3,2,0.000124,771
0684,1,256,8,8,1,1,0,4,0,0.000124,595
0685,1,256,8,8,1,1,0,4,1,0.000123,574
0686,1,256,8,8,1,1,0,4,2,0.000123,574
0693,1,256,8,8,1,1,0,7,0,0.000128,886
0694,1,256,8,8,1,1,0,7,1,0.000136,1028
0695,1,256,8,8,1,1,0,7,2,0.000136,1028
0696,1,256,8,8,1,1,0,8,0,0.000125,624
0697,1,256,8,8,1,1,0,8,1,0.000105,691
0698,1,256,8,8,1,1,0,8,2,0.000105,691
0699,1,256,8,8,1,1,0,9,0,0.000116,922
0700,1,256,8,8,1,1,0,9,1,0.000146,1159
0701,1,256,8,8,1,1,0,9,2,0.000146,1159
0717,1,256,8,8,1,1,0,15,0,0.000133,1232
0718,1,256,8,8,1,1,0,15,1,0.000147,1566
0719,1,256,8,8,1,1,0,15,2,0.000147,1566
0720,2,256,1,1,1,1,0,1,0,0.000315,42
0721,2,256,1,1,1,1,0,1,1,0.000216,51
0722,2,256,1,1,1,1,0,1,2,0.000216,51
0723,2,256,1,1,1,1,0,2,0,0.000259,50
0724,2,256,1,1,1,1,0,2,1,0.000192,55
0725,2,256,1,1,1,1,0,2,2,0.000192,55
0726,2,256,1,1,1,1,0,3,0,0.000230,55
0727,2,256,1,1,1,1,0,3,1,0.000200,76
0728,2,256,1,1,1,1,0,3,2,0.000200,76
0729,2,256,1,1,1,1,0,4,0,0.000239,53
0730,2,256,1,1,1,1,0,4,1,0.000218,75
0731,2,256,1,1,1,1,0,4,2,0.000205,75
0732,2,256,1,1,1,1,0,5,0,0.000247,75
0733,2,256,1,1,1,1,0,5,1,0.000219,98
0734,2,256,1,1,1,1,0,5,2,0.000219,98
0735,2,256,1,1,1,1,0,6,0,0.000224,71
0736,2,256,1,1,1,1,0,6,1,0.000210,95
0737,2,256,1,1,1,1,0,6,2,0.000210,95
0738,2,256,1,1,1,1,0,7,0,0.000239,91
0739,2,256,1,1,1,1,0,7,1,0.000254,133
0740,2,256,1,1,1,1,0,7,2,0.000254,133
0741,2,256,1,1,1,1,0,8,0,0.000234,67
0742,2,256,1,1,1,1,0,8,1,0.000211,79
0743,2,256,1,1,1,1,0,8,2,0.000211,79
0744,2,256,1,1,1,1,0,9,0,0.000228,107
0745,2,256,1,1,1,1,0,9,1,0.000255,155
0746,2,256,1,1,1,1,0,9,2,0.000255,155
0747,2,256,1,1,1,1,0,10,0,0.000222,111
0748,2,256,1,1,1,1,0,10,1,0.000261,158
0749,2,256,1,1,1,1,0,10,2,0.000261,158
0750,2,256,1,1,1,1,0,11,0,0.000247,145
0751,2,256,1,1,1,1,0,11,1,0.000320,184
0752,2,256,1,1,1,1,0,11,2,0.000320,184
0753,2,256,1,1,1,1,0,12,0,0.000227,121
0754,2,256,1,1,1,1,0,12,1,0.000247,165
0755,2,256,1,1,1,1,0,12,2,0.000247,165
0756,2,256,1,1,1,1,0,13,0,0.000259,166
0757,2,256,1,1,1,1,0,13,1,0.000284,208
0758,2,256,1,1,1,1,0,13,2,0.000284,208
0759,2,256,1,1,1,1,0,14,0,0.000257,163
0760,2,256,1,1,1,1,0,14,1,0.000296,223
0761,2,256,1,1,1,1,0,14,2,0.000296,223
0762,2,256,1,1,1,1,0,15,0,0.000328,196
0763,2,256,1,1,1,1,0,15,1,0.000291,228
0764,2,256,1,1,1,1,0,15,2,0.000291,228
0765,2,256,1,2,1,1,0,1,0,0.000235,160
0766,2,256,1,2,1,1,0,1,1,0.000156,159
0767,2,256,1,2,1,1,0,1,2,0.000156,159
0768,2,256,1,2,1,1,0,2,0,0.000201,200
0769,2,256,1,2,1,1,0,2,1,0.000161,134
0770,2,256,1,2,1,1,0,2,2,0.000161,134
0771,2,256,1,2,1,1,0,3,0,0.000211,191
0772,2,256,1,2,1,1,0,3,1,0.000191,243
0773,2,256,1,2,1,1,0,3,2,0.000191,243
0774,2,256,1,2,1,1,0,4,0,0.000215,245
