n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
8244,20,400,1,2,4,1,3,400,160000,0,1.710883,117
8245,20,400,1,2,4,1,4,400,160000,0,1.859938,109
8246,20,400,1,2,4,2,1,400,160000,0,1.469585,97
8247,20,400,1,2,4,2,2,400,160000,0,1.611994,107
8248,20,400,1,2,4,2,3,400,160000,0,1.396367,120
8249,20,400,1,2,4,2,4,400,160000,0,1.596607,106
8250,20,400,1,2,4,3,1,400,160000,0,1.451018,112
8251,20,400,1,2,4,3,2,400,160000,0,1.756618,109
8252,20,400,1,2,4,3,3,400,160000,0,1.416515,110
8253,20,400,1,2,4,3,4,400,160000,0,1.774129,121
8254,20,400,1,2,4,4,1,400,160000,0,1.636641,110
8255,20,400,1,2,4,4,2,400,160000,0,1.540596,126
8256,20,400,1,2,4,4,3,400,160000,0,1.597645,119
8257,20,400,1,2,4,4,4,400,160000,0,1.934731,115
8258,20,400,1,3,1,1,1,400,160000,0,1.242342,81
8259,20,400,1,3,1,1,2,400,160000,0,1.670374,90
8260,20,400,1,3,1,1,3,400,160000,0,1.16971,89
8261,20,400,1,3,1,1,4,400,160000,0,1.945601,88
8262,20,400,1,3,1,2,1,400,160000,0,1.190543,91
8263,20,400,1,3,1,2,2,400,160000,0,1.455075,95
8264,20,400,1,3,1,2,3,400,160000,0,1.231809,95
8265,20,400,1,3,1,2,4,400,160000,0,1.714815,97
8266,20,400,1,3,1,3,1,400,160000,0,1.43424,89
8267,20,400,1,3,1,3,2,400,160000,0,1.664819,89
8268,20,400,1,3,1,3,3,400,160000,0,1.20763,94
8269,20,400,1,3,1,3,4,400,160000,0,1.595336,94
8270,20,400,1,3,1,4,1,400,160000,0,1.485306,98
8271,20,400,1,3,1,4,2,400,160000,0,1.481663,91
8272,20,400,1,3,1,4,3,400,160000,0,1.812536,102
8273,20,400,1,3,1,4,4,400,160000,0,1.901135,89
8274,20,400,1,3,2,1,1,400,160000,0,1.252571,86
8275,20,400,1,3,2,1,2,400,160000,0,2.033718,89
