n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0311,16,2,3,2,4,16,0.000004,6441,31703,5672,18,0
0312,16,2,3,3,1,4,0.000002,1298,6929,4238,18,0
0313,16,2,3,3,1,8,0.000002,1821,9961,4611,18,0
0314,16,2,3,3,1,16,0.000002,3161,16484,4166,18,0
0315,16,2,3,3,2,4,0.000003,1813,9494,5524,18,0
0316,16,2,3,3,2,8,0.000004,2463,13444,5791,18,0
0317,16,2,3,3,2,16,0.000003,3964,20862,5029,18,0
0318,16,2,3,3,3,4,0.000003,2167,11579,6001,18,0
0319,16,2,3,3,3,8,0.000004,2997,16842,6431,18,0
0320,16,2,3,3,3,16,0.000003,5063,26394,5181,18,0
0321,16,2,3,3,4,4,0.000004,2593,14242,6687,18,0
0322,16,2,3,3,4,8,0.000004,3754,21049,6993,18,0
0323,16,2,3,3,4,16,0.000003,6495,32124,5767,18,0
0324,16,2,3,4,1,4,0.000002,1222,6734,4199,18,0
0325,16,2,3,4,1,8,0.000002,1754,9803,4338,18,0
0326,16,2,3,4,1,16,0.000002,2656,14317,4043,18,0
0327,16,2,3,4,2,4,0.000003,1747,9329,5441,18,0
0328,16,2,3,4,2,8,0.000003,2382,13224,5513,18,0
0329,16,2,3,4,2,16,0.000003,3971,20462,4960,18,0
0330,16,2,3,4,3,4,0.000003,2119,11333,5971,18,0
0331,16,2,3,4,3,8,0.000003,2868,16651,6102,18,0
0332,16,2,3,4,3,16,0.000003,5273,27278,5237,18,0
0333,16,2,3,4,4,4,0.000003,2578,14271,6654,18,0
0334,16,2,3,4,4,8,0.000004,3495,20008,6717,18,0
0335,16,2,3,4,4,16,0.000003,6431,31409,5673,18,0
0336,16,2,4,1,1,4,0.000002,1632,8971,4782,24,0
0337,16,2,4,1,1,8,0.000002,2127,12430,4845,24,0
0338,16,2,4,1,1,16,0.000002,3236,18426,4329,24,0
0339,16,2,4,1,2,4,0.000003,2244,12040,6359,24,0
0340,16,2,4,1,2,8,0.000003,3019,16748,6413,24,0
0341,16,2,4,1,2,16,0.000003,5117,26869,5557,24,0
0342,16,2,4,1,3,4,0.000003,2693,15213,7197,24,0
0343,16,2,4,1,3,8,0.000004,3728,21396,7231,24,0
0344,16,2,4,1,3,16,0.000003,6471,33824,6178,24,0
0345,16,2,4,1,4,4,0.000003,3215,17846,7956,24,0
0346,16,2,4,1,4,8,0.000004,4639,26553,8113,24,0
0347,16,2,4,1,4,16,0.000003,8151,41950,6673,24,0
0348,16,2,4,2,1,4,0.000001,1548,8847,4765,24,0
0349,16,2,4,2,1,8,0.000002,2275,13098,4848,24,0
0350,16,2,4,2,1,16,0.000002,3461,18438,4524,24,0
0351,16,2,4,2,2,4,0.000002,2288,12338,6331,24,0
0352,16,2,4,2,2,8,0.000003,2917,16860,6438,24,0
0353,16,2,4,2,2,16,0.000003,5035,26607,5551,24,0
0354,16,2,4,2,3,4,0.000003,2676,14904,7098,24,0
0355,16,2,4,2,3,8,0.000003,3806,21682,7245,24,0
0356,16,2,4,2,3,16,0.000002,6840,33698,6051,24,0
0357,16,2,4,2,4,4,0.000003,3181,17725,7905,24,0
0358,16,2,4,2,4,8,0.000003,4667,26686,8030,24,0
0359,16,2,4,2,4,16,0.000003,7919,41747,6670,24,0
0360,16,2,4,3,1,4,0.000002,1702,9259,4952,24,0
0361,16,2,4,3,1,8,0.000002,2280,12926,5227,24,0
0362,16,2,4,3,1,16,0.000001,3527,18672,4380,24,0
0363,16,2,4,3,2,4,0.000003,2325,12122,6530,24,0
0364,16,2,4,3,2,8,0.000003,3234,17578,6840,24,0
0365,16,2,4,3,2,16,0.000002,4991,26930,5773,24,0
0366,16,2,4,3,3,4,0.000003,2813,15453,7309,24,0
0367,16,2,4,3,3,8,0.000003,3852,22344,7640,24,0
0368,16,2,4,3,3,16,0.000002,6038,34420,6274,24,0
0369,16,2,4,3,4,4,0.000003,3267,18354,8145,24,0
0370,16,2,4,3,4,8,0.000003,4687,27024,8443,24,0
0371,16,2,4,3,4,16,0.000002,8353,40907,6738,24,0
0372,16,2,4,4,1,4,0.000001,1562,9025,4896,24,0
0373,16,2,4,4,1,8,0.000001,2152,12342,5011,24,0
0374,16,2,4,4,1,16,0.000001,3389,18574,4548,24,0
0375,16,2,4,4,2,4,0.000002,2233,11979,6506,24,0
0376,16,2,4,4,2,8,0.000002,3026,17399,6593,24,0
