n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0314,16,1,4,4,3,16,0,0.000244,793,5478,1559,0,0
0315,16,1,4,4,4,1,0,0.000259,537,2927,1100,0,0
0316,16,1,4,4,4,2,0,0.000350,623,2955,1567,0,0
0317,16,1,4,4,4,4,0,0.000302,590,3467,1600,0,0
0318,16,1,4,4,4,8,0,0.000257,638,3791,1973,0,0
0319,16,1,4,4,4,16,0,0.000233,675,4636,1449,0,0
0320,16,2,1,1,1,1,0,0.000018,273,1519,842,0,0
0321,16,2,1,1,1,2,0,0.000018,434,2267,1339,0,0
0322,16,2,1,1,1,4,0,0.000017,488,2905,1380,0,0
0323,16,2,1,1,1,8,0,0.000018,479,3015,1539,0,0
0324,16,2,1,1,1,16,0,0.000014,333,2006,1241,0,0
0325,16,2,1,1,2,1,0,0.000019,286,1506,825,0,0
0326,16,2,1,1,2,2,0,0.000021,363,1679,1328,0,0
0327,16,2,1,1,2,4,0,0.000019,432,2763,1375,0,0
0328,16,2,1,1,2,8,0,0.000017,448,2798,1525,0,0
0329,16,2,1,1,2,16,0,0.000013,297,1936,1225,0,0
0330,16,2,1,1,3,1,0,0.000019,278,1514,847,0,0
0331,16,2,1,1,3,2,0,0.000018,447,2538,1274,0,0
0332,16,2,1,1,3,4,0,0.000018,456,2948,1392,0,0
0333,16,2,1,1,3,8,0,0.000019,475,2974,1533,0,0
0334,16,2,1,1,3,16,0,0.000011,448,2725,1454,0,0
0335,16,2,1,1,4,1,0,0.000017,290,1495,817,0,0
0336,16,2,1,1,4,2,0,0.000019,378,1708,1324,0,0
0337,16,2,1,1,4,4,0,0.000020,351,2041,1375,0,0
0338,16,2,1,1,4,8,0,0.000016,409,2685,1521,0,0
0339,16,2,1,1,4,16,0,0.000012,251,1616,1221,0,0
0340,16,2,1,2,1,1,0,0.000027,258,1344,879,0,0
0341,16,2,1,2,1,2,0,0.000034,425,2286,1341,0,0
0342,16,2,1,2,1,4,0,0.000026,531,2978,1766,0,0
0343,16,2,1,2,1,8,0,0.000029,477,2899,1797,0,0
0344,16,2,1,2,1,16,0,0.000024,483,2836,1254,0,0
0345,16,2,1,2,2,1,0,0.000026,269,1415,861,0,0
0346,16,2,1,2,2,2,0,0.000030,383,1770,1337,0,0
0347,16,2,1,2,2,4,0,0.000027,454,2847,1760,0,0
0348,16,2,1,2,2,8,0,0.000026,427,2621,1782,0,0
0349,16,2,1,2,2,16,0,0.000024,493,2773,1243,0,0
0350,16,2,1,2,3,1,0,0.000027,282,1482,883,0,0
0351,16,2,1,2,3,2,0,0.000036,486,2633,1286,0,0
0352,16,2,1,2,3,4,0,0.000030,495,2874,1778,0,0
0353,16,2,1,2,3,8,0,0.000028,457,2797,1790,0,0
0354,16,2,1,2,3,16,0,0.000025,633,3708,1473,0,0
0355,16,2,1,2,4,1,0,0.000033,248,1379,853,0,0
0356,16,2,1,2,4,2,0,0.000037,405,1794,1333,0,0
0357,16,2,1,2,4,4,0,0.000028,393,2245,1376,0,0
